iter	Passed	Remaining
0	80	7955
1	146	7162
2	209	6778
3	218	5255
4	283	5381
5	348	5456
6	411	5464
7	475	5471
8	539	5451
9	607	5463
10	681	5512
11	746	5472
12	818	5479
13	888	5460
14	957	5428
15	1022	5366
16	1089	5320
17	1152	5251
18	1223	5217
19	1289	5159
20	1356	5102
21	1426	5058
22	1505	5040
23	1574	4984
24	1636	4910
25	1702	4846
26	1763	4768
27	1829	4703
28	1906	4668
29	2023	4720
30	2139	4762
31	2260	4802
32	2373	4818
33	2491	4836
34	2625	4875
35	2750	4890
36	2875	4896
37	3013	4916
38	3133	4900
39	3253	4880
40	3390	4878
41	3566	4925
42	3839	5089
43	3966	5048
44	4123	5039
45	4280	5024
46	4416	4980
47	4541	4919
48	4591	4779
49	4743	4743
50	4878	4687
51	5038	4651
52	5183	4596
53	5219	4446
54	5357	4383
55	5495	4317
56	5616	4236
57	5737	4154
58	5868	4078
59	6001	4001
60	6151	3933
61	6290	3855
62	6445	3785
63	6590	3707
64	6735	3626
65	6890	3549
66	7023	3459
67	7164	3371
68	7292	3276
69	7389	3167
70	7450	3043
71	7512	2921
72	7579	2803
73	7639	2684
74	7706	2568
75	7781	2457
76	7846	2343
77	7917	2233
78	7991	2124
79	8053	2013
80	8123	1905
81	8187	1797
82	8250	1689
83	8311	1583
84	8375	1477
85	8439	1373
86	8499	1269
87	8561	1167
88	8628	1066
89	8699	966
90	8764	866
91	8829	767
92	8891	669
93	8961	572
94	9032	475
95	9094	378
96	9153	283
97	9213	188
98	9271	93
99	9333	0
